_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
монтажные_кронштейны,tip{1};vysota_h{2};dlina_l{3};dlina_l1{4};dlina_l2{5};diametr_Ø{6};diametr_Ø1{7};diametr_Ø2{8};ves{9};cvet{10};pokrytie{11};material{12};test{13};zazhim{14};dop_dannye{15},"тип;высота, H;длина, L;длина, L1;длина, L2;диаметр, Ø;диаметр, Ø1;диаметр, Ø2;вес;цвет;покрытие;материал;тест;зажим;доп. данные","тип;высота, H;длина, L;длина, L1;длина, L2;диаметр, Ø;диаметр, Ø1;диаметр, Ø2;вес;цвет;покрытие;материал;тест;зажим;доп. данные"
держатели_кабеля,tip{1};vysota_h{2};dlina_l{3};dlina_l1{4};diametr_Ø{5};ves{6};cvet{7};pokrytie{8};material{9};test{10};zazhim{11};dop_dannye{12},"тип;высота, H;длина, L;длина, L1;диаметр, Ø;вес;цвет;покрытие;материал;тест;зажим;доп. данные","тип;высота, H;длина, L;длина, L1;диаметр, Ø;вес;цвет;покрытие;материал;тест;зажим;доп. данные"
счетчики_ударов_молний,tip_ciferblata{2};kol_vo_znacheniy_na_ciferblate{3};min_regi_toko_impu{4};max_regi_toko_impu{5};diapazon_rabochih_temperatur{6};klass_ip{7};istochniki_pitaniya{8};dop_dannye{9},"тип циферблата;кол-во значений на циферблате;min регистрируемый токовый импульс;max регистрируемый токовый импульс;диапазон рабочих температур;класс IP;источники питания;доп. данные","тип циферблата;кол-во значений на циферблате;min регистрируемый токовый импульс;max регистрируемый токовый импульс;диапазон рабочих температур;класс IP;источники питания;доп. данные"
разрядники,tip{1};diapazon_rabochih_temperatur{2};Ø_korpusa{3};dlina{4};klass_ip{5};ves{6};material_korpusa{7};dop_dannye{9},"тип;диапазон рабочих температур;Ø корпуса;длина;класс IP;вес;материал корпуса;доп. данные","тип;диапазон рабочих температур;Ø корпуса;длина;класс IP;вес;материал корпуса;доп. данные"
напольная,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
настенная,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
бордюры,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
декор_настенный,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
вставки,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
цоколи,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
декор_напольный,kollekciya{1};naznachenie{2};cvet{3};razmer{4};tolschina{5};material{6};poverhnost{7};kol_vo{8};iznosostoykost_pei{9};vodopogloschenie{10};dop_dannye{11},"коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные","коллекция;назначение;цвет;размер;толщина;материал;поверхность;кол-во;износостойкость, PEI;водопоглощение;доп. данные"
