_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
ручные,tip{1};sposob_perenoski{2};max_dalnost_raspyleniya{3};raspylitelnaya_trubka{4};dlina_raspylitelnoy_trubki{5};material_raspylitelnoy_trubki{6};shlang{7};dlina_shlanga{8};material_shlanga{9};obem_baka{10};material_baka_korpusa{11};kol_vo_sopel{12};material_sopla{13};material_pompy{14};funkciya_nepreryvnogo_raspyla{15};ves{16};dop_dannye{17},тип;способ переноски;max дальность распыления;распылительная трубка;длина распылительной трубки;материал распылительной трубки;шланг;длина шланга;материал шланга;объем бака;материал бака/корпуса;кол-во сопел;материал сопла;материал помпы;функция непрерывного распыла;вес;доп.данные,тип;способ переноски;max дальность распыления;распылительная трубка;длина распылительной трубки;материал распылительной трубки;шланг;длина шланга;материал шланга;объем бака;материал бака/корпуса;кол-во сопел;материал сопла;материал помпы;функция непрерывного распыла;вес;доп.данные
пистолеты_поливочные,tip_pistoleta{1};kol_vo_rezhimov_poliva{2};plav_regu_napo_vody{3};diam_pods_shla{4};material{5};nalichie_shtangi{6};regulirovka_dliny_shtangi{7};dlina_shtangi{8};nalichie_shlanga{9};tip_shlanga{10};dlina_shlanga{11};diametr_shlanga{12};obschiy_ves{13};dop_dannye{14};dop_komplektaciya{15},тип пистолета;кол-во режимов полива;плавная регулировка напора воды;диаметр подсоединяемого шланга;материал;наличие штанги;регулировка длины штанги;длина штанги;наличие шланга;тип шланга;длина шланга;диаметр шланга;общий вес;доп.данные;доп. комплектация,тип пистолета;кол-во режимов полива;плавная регулировка напора воды;диаметр подсоединяемого шланга;материал;наличие штанги;регулировка длины штанги;длина штанги;наличие шланга;тип шланга;длина шланга;диаметр шланга;общий вес;доп.данные;доп. комплектация
дождеватели,tip{2};raspolozhenie{3};osnovanie{4};kol_vo_rezhimov_poliva{5};rezhimy_poliva{6};kol_vo_forsunok{7};min_rabochee_davlenie{8};max_rabochee_davlenie{9};max_ploschad_poliva{10};max_dalnost_poliva{11};sektor_poliva{12};material_rabochey_chasti{13};material_osnovaniya{14};ves{15};diam_pods_shla{16};regulyator_davleniya_vody{17};dop_dannye{18},тип;расположение;основание;кол-во режимов полива;режимы полива;кол-во форсунок;min рабочее давление;max рабочее давление;max площадь полива;max дальность полива;сектор полива;материал рабочей части;материал основания;вес;диаметр подсоединяемого шланга;регулятор давления воды;доп. данные,тип;расположение;основание;кол-во режимов полива;режимы полива;кол-во форсунок;min рабочее давление;max рабочее давление;max площадь полива;max дальность полива;сектор полива;материал рабочей части;материал основания;вес;диаметр подсоединяемого шланга;регулятор давления воды;доп. данные
шланги,tip{1};kol_vo_sloev{2};dlina{3};diametr{4};tolschina_stenki{5};material{6};max_dopu_rabo_davl{7};temperaturnye_normy{8};nali_soed_elem{9};ves{10},тип;кол-во слоев;длина;диаметр;толщина стенки;материал;max допустимое рабочее давление;температурные нормы;наличие соединительных элементов;вес,тип;кол-во слоев;длина;диаметр;толщина стенки;материал;max допустимое рабочее давление;температурные нормы;наличие соединительных элементов;вес
катушки_тележки_держатели_для_шлангов,tip_izdeliya{1};sposob_smatyvaniya_shlanga{2};dlina_shlanga{3};diametr_shlanga{4};material_korpusa{5};ves{6};shlang_v_komplekte{7},тип изделия;способ сматывания шланга;длина шланга;диаметр шланга;материал корпуса;вес;шланг в комплекте,тип изделия;способ сматывания шланга;длина шланга;диаметр шланга;материал корпуса;вес;шланг в комплекте
коннекторы_для_шлангов,diam_podk_shla{1};diam_pris_izde{2};funkciya_akvastop_{3};ruch_regu_poda_vody{4};material{5};ves{6},диаметр подключаемого шланга;диаметр присоединяемого изделия;функция «аквастоп»;ручной регулятор подачи воды;материал;вес,диаметр подключаемого шланга;диаметр присоединяемого изделия;функция «аквастоп»;ручной регулятор подачи воды;материал;вес
муфты_для_шлангов,forma{1};diametr_1_shlanga{2};diametr_2_shlanga{3};material{4};ves{6},форма;диаметр 1 шланга;диаметр 2 шланга;материал;вес,форма;диаметр 1 шланга;диаметр 2 шланга;материал;вес
адаптеры_для_шланговых_коннекторов,tip{1};rezba_vneshnyaya{2};rezba_vnutrennyaya{3};diam_pods_konn{4};material{5};ves{6},тип;резьба внешняя;резьба внутренняя;диаметр подсоединяемого коннектора;материал;вес,тип;резьба внешняя;резьба внутренняя;диаметр подсоединяемого коннектора;материал;вес
ниппели_для_шланговых_коннекторов,diametr_konnektora_1{1};diametr_konnektora_2{2};material{3};ves{5},диаметр коннектора 1;диаметр коннектора 2;материал;вес,диаметр коннектора 1;диаметр коннектора 2;материал;вес
тройники_для_шланговых_коннекторов,diametr_konnektora_1{1};diametr_konnektora_2{2};diametr_konnektora_3{3};material{4};ves{6},диаметр коннектора 1;диаметр коннектора 2;диаметр коннектора 3;материал;вес,диаметр коннектора 1;диаметр коннектора 2;диаметр коннектора 3;материал;вес
распределители_потока_воды,tip_raspredelitelya{1};tip_rezby{2};diametr_vnutrenney_rezby{3};diam_pods_konn{4};material{5};regulirovka_kazhdogo_kanala{6};ves{7},тип распределителя;тип резьбы;диаметр внутренней резьбы;диаметр подсоединяемого коннектора;материал;регулировка каждого канала;вес,тип распределителя;тип резьбы;диаметр внутренней резьбы;диаметр подсоединяемого коннектора;материал;регулировка каждого канала;вес
таймеры_подачи_воды,tip_taymera{2};diametr_rezby_krana_truby{3};kol_vo_kana_rasp_vody{4};kol_vo_vyhodov_pod_konnektor{5};nali_adap_pod_konn{6};kol_vo_adapterov{7};diam_pods_konn{8};regu_prod_poli{9};max_prodolzhitelnost_poliva{10};avto_otkl_vody{11};material{12};ves{13},тип таймера;диаметр резьбы крана/трубы;кол-во каналов распределения воды;кол-во выходов под коннектор;наличие адаптера под коннектор;кол-во адаптеров;диаметр подсоединяемого коннектора;регулировка продолжительности полива;max продолжительность полива;автоматическое отключение воды;материал;вес,тип таймера;диаметр резьбы крана/трубы;кол-во каналов распределения воды;кол-во выходов под коннектор;наличие адаптера под коннектор;кол-во адаптеров;диаметр подсоединяемого коннектора;регулировка продолжительности полива;max продолжительность полива;автоматическое отключение воды;материал;вес
наконечники_поливочные,spos_pods_k_shla{1};diam_pods_konn{2};kol_vo_rezhimov_poliva{3};plav_regu_napo_vody{4};material{5};obschiy_ves{6};dop_komplektaciya{8},способ подсоединения к шлангу;диаметр подсоединяемого коннектора;кол-во режимов полива;плавная регулировка напора воды;материал;общий вес;доп. комплектация,способ подсоединения к шлангу;диаметр подсоединяемого коннектора;кол-во режимов полива;плавная регулировка напора воды;материал;общий вес;доп. комплектация
тачки,tip_tachki{1};gruzopodemnost{2};semnyy_kuzov{3};material_kuzova{4};obem_kuzova{5};tolschina_kuzova{6};tip_ramy{7};kol_vo_koles{8};tip_kolesa{9};diametr_kolesa{10};shirina_kolei{11};ves{12},тип тачки;грузоподъемность;съемный кузов;материал кузова;объем кузова;толщина кузова;тип рамы;кол-во колес;тип колеса;диаметр колеса;ширина колеи;вес,тип тачки;грузоподъемность;съемный кузов;материал кузова;объем кузова;толщина кузова;тип рамы;кол-во колес;тип колеса;диаметр колеса;ширина колеи;вес
лестницы,tip{1};kol_vo_sekciy{2};teleskopicheskaya_konstrukciya{3};max_vysota_pristavnoy_lestnicy{4};vysota_A_obraznoy_stremyanki{5};vysota_λ_obraznoy_stremyanki{6};vysota_v_slozhennom_vide{7};shirina{8};kol_vo_stupeney{9};shirina_stupeni{10};material{11};max_nagruzka{12};ves{13},тип;кол-во секций;телескопическая конструкция;max высота приставной лестницы;высота А-образной стремянки;высота λ-образной стремянки;высота в сложенном виде;ширина;кол-во ступеней;ширина ступени;материал;max нагрузка;вес,тип;кол-во секций;телескопическая конструкция;max высота приставной лестницы;высота А-образной стремянки;высота λ-образной стремянки;высота в сложенном виде;ширина;кол-во ступеней;ширина ступени;материал;max нагрузка;вес
стремянки,konstrukciya{1};kol_vo_stupeney{2};razmer_stupeni{3};vyso_do_posl_stup_plos{4};forma_nesuschego_profilya{5};material_nesuschego_profilya{6};max_nagruzka{7};ves{8},конструкция;кол-во ступеней;размер ступени;высота до последней ступени/площадки;форма несущего профиля;материал несущего профиля;max нагрузка;вес,конструкция;кол-во ступеней;размер ступени;высота до последней ступени/площадки;форма несущего профиля;материал несущего профиля;max нагрузка;вес
перчатки,material{1};klass_vyazki{2};tehnologiya_vyazki{3};sort_kozhi_spilka_{4};tolschina_kozhi_spilka_{5};pokrytie{6};mesta_naneseniya_pokrytiya{7};material_pokrytiya{8};manzhet{9};uteplitel{10};razmer{11};dlina{12};shirina{13};ves{14};dop_dannye{15},материал;класс вязки;технология вязки;сорт кожи (спилка);толщина кожи (спилка);покрытие;места нанесения покрытия;материал покрытия;манжет;утеплитель;размер;длина;ширина;вес;доп. данные,материал;класс вязки;технология вязки;сорт кожи (спилка);толщина кожи (спилка);покрытие;места нанесения покрытия;материал покрытия;манжет;утеплитель;размер;длина;ширина;вес;доп. данные
очки,tip_ochkov{1};zaschita_ot_melkih_chastic{2};zaschita_ot_UF_i_IK_izlucheniy{3};zasc_ot_laze_izlu{4};ventilyaciya{5};tip_ventilyacii{6};cvet_linz{7};material_linz{8};cvet_opravy{9};material_opravy{10};ves{11};dop_dannye{12},тип очков;защита от мелких частиц;защита от УФ и ИК излучений;защита от лазерного излучения;вентиляция;тип вентиляции;цвет линз;материал линз;цвет оправы;материал оправы;вес;доп. данные,тип очков;защита от мелких частиц;защита от УФ и ИК излучений;защита от лазерного излучения;вентиляция;тип вентиляции;цвет линз;материал линз;цвет оправы;материал оправы;вес;доп. данные
наушники,material{1};myagkoe_ogolove{2};regulirovka_dliny{3};skladnaya_konstrukciya{4};kreplenie_na_kasku{5};ves{6};dop_dannye{7},материал;мягкое оголовье;регулировка длины;складная конструкция;крепление на каску;вес;доп. данные,материал;мягкое оголовье;регулировка длины;складная конструкция;крепление на каску;вес;доп. данные
