колесные экскаваторы,угол выгрузки{38};объем экскаваторного ковша{18};max. тяговое усилие{27};max. вылет поднятого ковша{35};габаритная длина{14};max. вылет стрелы{28};высота оси шарнира ковша{32};тип двигателя{3};угол поворота ковша{22};ширина раскрытия челюстей{39};max. скорость движения{8};режим рулевого управления{11};глубина копания{26};радиус разворота{23};угол запрокидывания ковша{37};высота выгрузки{30};емкость топливного бака{9};вылет кромки ковша на уровне земли{34};габаритная ширина{15};объем прелагаемых ковшей{19};высота до горизонтального днища{31};эксплуатационная масса{7};max. высота выгрузки{21};масса{0};число оборотов{5};электрика{12};коробка передач{2};объем погрузочного ковша{17};уровень шума{25};вылет поднятого ковша при выгрузке{36};эксплуатационная мощность{6};двигатель{1};вылет оси шарнира ковша{33};габаритная высота{16};производительность насосов гидравлической системы{24};ковш{29};колесная формула{10};max. высота подъема ковша{20};мощность двигателя{4};доп. данные{40};шасси{13}
ямобуры,доп. данные{3};глубина бурения{1};диаметр бурения{0}
погрузчики,рулевое управление{8};габаритная высота{13};доп. данные{14};мощность двигателя{3};привод{6};шасси{9};высота подъема{10};габаритная ширина{12};двигатель{2};колеса{4};скорость с / без груза{7};габаритная длина{11};номинальная грузоподъемность{1};масса{0};коробка передач{5}
вибропогружатели,давление захвата{2};раскрытие захвата{1};масса{0};доп. данные{4}
плиткорезы,резак отверстий{6};назначение{1};режущий элемент{3};вес{8};диаметр вырезаемых отверстий{7};max глубина резки{5};каретка на подшипниках{2};тип{0};max длина резки{4}
шпатлевки,доп. данные{15};назначение{0};примечание{16};толщина слоя{8};степень блеска{3};хранение{12};консистенция{1};морозостойкость{11};расход (масса){5};плотность{6};срок годности смеси{9};упаковка (масса){13};цвет{2};упаковка (объем){14};t нанесения{7};расход (объем){4};вода для смеси{10}
ремонтные смеси,"t при нанесении{10};доп. данные{15};пешеходное движение{9};морозостойкость{11};толщина выравнивающего слоя{7};хранение{12};расход (масса){4};упаковка (объем){14};консистенция{2};назначение{1};срок годности смеси{8};упаковка (масса){13};количество воды, необходимое для затворения{6};примечание{16};цвет{3};расход (объем){5}"
аэраторы (скарификаторы),мощность{13};количество зубьев{15};тип двигателя{2};объем травосборника{22};ёмкость аккумулятора{5};уровень шума{27};запасной аккумулятор{8};количество уровней глубины обработки{18};ёмкость масляного бака{11};самоходная{26};питание{0};ширина обработки{20};количество ножей{16};напряжение{3};тип травосборника{23};время зарядки аккумулятора{6};вес{28};рабочий объём двигателя{9};глубина обработки{19};пусковой насос{12};система валиков{14};тип аккумулятора{1};травосборник{21};частота{4};материал корпуса{24};время работы от аккумулятора{7};регулировка глубины обработки{17};ёмкость топливного бака{10};мульчирование{25}
теплоизоляция,примечание{10};цвет{2};упаковка (масса){6};упаковка (объем){7};t во время нанесения{3};доп. данные{8};назначение{0};консистенция{1};хранение{5};t поверхности{4}
дальномеры,оптический прицел{29};погрешность измерения угла{32};диапазон рабочих температур{37};тип дальномера{0};встроенный пузырьковый уровень{36};поворот дисплея{25};диаметр резьбы под штатив{22};погрешность измерения длины{8};функция таймера{28};угол выхода ультразвукового сигнала{10};габариты (ДхШхВ){42};время измерения{12};время зарядки аккумулятора{4};класс прибора{45};разъём для зарядного уст-ва{5};автоотключение лазера{18};мощность лазерного излучения{16};встроенный датчик угла наклона{30};цена деления при измерении угла{33};кол-во лучей{14};питание{1};дисплей{23};направляющая шина-уклономер{34};относительная влажность воздуха{40};цена деления при измерении длины{9};напряжение{2};позиционная скоба{20};вес{43};класс лазера{13};кол-во измерений на одной зарядке{6};подсветка дисплея{24};диапазон измерения угла{31};диапазон температур хранения{38};длина волны лазерного излучения{15};передача данных по Bluetooth{35};кол-во точек начала отсчета{17};возможность установки на штатив{21};диапазон измеряемой длины{7};функция памяти{26};кол-во сохранённых значений{27};класс защищенности корпуса{41};единицы измерения{11};ёмкость аккумулятора{3};чехол{44};автоотключение прибора{19};диапазон температур при зарядке{39}
